event_id,transaction_id,policy,normalised_failure_class,diagnosed_failure_class,selected_action,guardrail_verdict,execution_called,execution_status,unsafe_attempt,unsafe_execution,gross_recovered,api_cost,friction_cost,net_recovered,latency_ms
d421e663-2157-c4b5-24bb-0c5659e1fa06,TXN_VNWVU5MVHY3F,static_baseline,ISSUER_DECLINE,ISSUER_DECLINE,SWITCH_METHOD,N/A (no guardrails),True,FAILURE,False,False,0.0,4.0,4.0,-8.0,0.0085
aaa54944-cc76-df5c-7304-ee4af4f64ffc,TXN_EF72SL6K5ONO,static_baseline,ISSUER_DECLINE,ISSUER_DECLINE,DELAYED_RETRY,N/A (no guardrails),True,SUCCESS,False,False,1815.25,3.5,2.0,1809.75,0.0051
fc516301-f380-26c8-01b6-f5c0e2d2102c,TXN_FMGWH0X43LX3,static_baseline,UNKNOWN,UNKNOWN,DELAYED_RETRY,N/A (no guardrails),True,FAILURE,False,False,0.0,3.5,2.0,-5.5,0.0028
65881a8c-65a2-60ff-5c39-b85816ffd738,TXN_LEEC02AGSW54,static_baseline,AUTH_BLOCKED,AUTH_BLOCKED,IMMEDIATE_RETRY,N/A (no guardrails),True,SUCCESS,False,False,3297.33,2.0,1.0,3294.33,0.002
0f4cd56e-dd94-4d1a-7cc0-8adbe5ee6aa0,TXN_EGKJUVQH6KVC,static_baseline,HARD_FUNDS_ISSUE,HARD_FUNDS_ISSUE,PAYMENT_LINK,N/A (no guardrails),True,SUCCESS,False,False,3376.54,5.0,3.0,3368.54,0.0016
dc2f46a3-bbd3-2b47-42e8-cba6f1bcf951,TXN_RSM7FAM6PP6N,static_baseline,TIMEOUT_TRANSIENT,UNKNOWN,DELAYED_RETRY,N/A (no guardrails),True,SUCCESS,True,True,267.65,3.5,2.0,262.15,0.0015
87f523d5-4602-0d0c-8e75-690a057fac78,TXN_BK0BZ9BW35BO,static_baseline,UNKNOWN,UNKNOWN,DELAYED_RETRY,N/A (no guardrails),True,SUCCESS,False,False,472.25,3.5,2.0,466.75,0.0011
ff8cb96e-3390-df84-c1e7-25bd03fa8c32,TXN_1QEL5W592JW1,static_baseline,CUSTOMER_ABANDONMENT,CUSTOMER_ABANDONMENT,DELAYED_RETRY,N/A (no guardrails),True,SUCCESS,False,False,1912.39,3.5,2.0,1906.89,0.0018
120e4e1d-26bb-a2a6-6fd2-e5fe5ad6ea19,TXN_LQWKG6HPW6QB,static_baseline,INFRA_OUTAGE,INFRA_OUTAGE,DELAYED_RETRY,N/A (no guardrails),True,SUCCESS,False,False,101.88,3.5,2.0,96.38,0.0013
f074d8e1-d7d4-408e-be8c-df735862a402,TXN_V7DRRGBA0HC3,static_baseline,HARD_FUNDS_ISSUE,UNKNOWN,PAYMENT_LINK,N/A (no guardrails),True,FAILURE,False,False,0.0,5.0,3.0,-8.0,0.0011
